,ceoname,name,year,pay
0,Jeff Green          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Jeff Green          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$834,959,367          </td>"
1,Vladimir Tenev          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Vladimir Tenev          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$796,124,647          </td>"
2,Peter Rawlinson          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Peter Rawlinson          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$565,591,512          </td>"
3,Robert Scaringe          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Robert Scaringe          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$422,140,679          </td>"
4,Jason Kelly          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Jason Kelly          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$380,742,276          </td>"
5,Peter Kern          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Peter Kern          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$296,247,749          </td>"
6,David Zaslav          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">David Zaslav          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$246,573,481          </td>"
7,David Baszucki          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">David Baszucki          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$232,786,391          </td>"
8,Jason Gardner          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Jason Gardner          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$224,387,431          </td>"
9,David Steinberg          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">David Steinberg          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$216,454,457          </td>"
10,Andrew Jassy          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Andrew Jassy          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$212,701,169          </td>"
11,G. Mikan          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">G. Mikan          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$180,813,849          </td>"
12,Scott Mercer          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Scott Mercer          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$179,423,048          </td>"
13,Patrick Gelsinger          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Patrick Gelsinger          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$178,590,400          </td>"
14,Barry McCarthy          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Barry McCarthy          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2022          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$168,073,420          </td>"
15,William McDermott          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">William McDermott          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$165,802,037          </td>"
16,Michael Levitt          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Michael Levitt          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$160,695,727          </td>"
17,R.J. Pittman          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">R.J. Pittman          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$157,922,193          </td>"
18,Travis VanderZanden          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">Travis VanderZanden          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2021          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$155,740,116          </td>"
19,George Kurtz          ,"<td class=""views-field views-field-name"" headers=""view-name-table-column"">George Kurtz          </td>","<td class=""priority-medium views-field views-field-year"" headers=""view-year-table-column"">2022          </td>","<td class=""views-field views-field-total is-active"" headers=""view-total-table-column"">$147,695,746          </td>"
